[USER DATA]
John
AGE=43
WEIGHT=166.0 pounds
LOWER HR=0
UPPER HR=200
drag factor=100
[END USER DATA]

[COURSE HEADER]
VERSION = 2
UNITS = ENGLISH
DESCRIPTION = NONE
[END COURSE HEADER]

[COURSE DATA]
      0.07       -2.00        0.00
      0.25        1.70        0.00
      0.83        0.30        0.00
      1.11       -1.00        0.00
      1.41        0.30        0.00
      1.60       -2.00        0.00
      1.78        1.60        0.00
      2.09        2.70        0.00
      2.30       -1.20        0.00
      2.42        0.00        0.00
      2.72       -1.90        0.00
      2.86        1.10        0.00
      2.98        3.00        0.00
      3.23       -3.00        0.00
      3.39        0.90        0.00
      3.53       -1.10        0.00
      3.69       -2.40        0.00
      3.81       -0.40        0.00
      4.21        0.80        0.00
      4.40        1.80        0.00
      4.70       -2.50        0.00
      4.91       -0.20        0.00
      5.23        1.30        0.00
      5.43        2.10        0.00
      5.84       -0.40        0.00
      5.91       -0.70        0.00
      5.97        1.00        0.00
      6.20        3.00        0.00
[END COURSE DATA]

number of records = 16460

ms speed watts rpm hr ss miles 

"0","21.00","252","78","121","72","0.0000"
"2347","22.48","359","85","124","71","0.0142"
"4207","22.52","246","85","125","72","0.0259"
"6068","23.56","250","95","127","73","0.0377"
"7928","24.10","319","97","129","73","0.0501"
"9787","24.18","207","97","131","71","0.0625"
"11648","24.76","206","99","132","69","0.0752"
"13508","24.88","210","100","134","68","0.0880"
"15367","25.22","209","100","135","68","0.1009"
"17228","25.90","302","103","137","68","0.1141"
"19088","25.72","307","105","140","69","0.1275"
"20949","26.80","340","101","141","69","0.1410"
"22808","27.18","428","103","142","68","0.1549"
"24668","26.74","362","102","142","66","0.1688"
"26528","25.88","286","98","144","66","0.1824"
"28388","25.46","293","96","144","66","0.1957"
"30249","24.90","321","95","145","68","0.2087"
"32107","24.58","318","92","146","68","0.2214"
"33969","24.02","360","92","148","68","0.2340"
"35828","23.58","321","89","149","66","0.2463"
"37687","23.12","352","89","151","67","0.2583"
"39548","22.80","327","86","151","67","0.2702"
"41407","22.22","341","85","151","68","0.2818"
"43268","21.70","301","84","152","69","0.2932"
"45128","21.70","287","99","153","71","0.3044"
"46989","21.70","337","100","154","72","0.3156"
"48848","20.88","278","96","155","71","0.3265"
"50708","21.18","313","98","155","70","0.3374"
"52568","21.30","319","98","155","70","0.3483"
"54427","21.18","331","98","156","71","0.3593"
"56287","21.20","300","98","157","71","0.3703"
"58148","21.36","330","100","157","72","0.3813"
"60007","21.12","310","92","159","73","0.3922"
"61868","21.08","303","92","159","72","0.4032"
"63727","21.26","295","91","159","71","0.4141"
"65588","21.12","318","92","160","71","0.4250"
"67447","21.44","341","94","161","71","0.4361"
"69307","21.64","319","94","161","71","0.4473"
"71169","21.42","297","93","161","71","0.4584"
"73027","21.82","322","95","161","70","0.4696"
"74887","21.34","283","98","161","70","0.4806"
"76747","21.60","306","99","161","71","0.4917"
"78608","21.46","316","99","161","71","0.5029"
"80468","21.28","286","99","161","71","0.5140"
"82329","21.46","271","98","163","70","0.5250"
"84188","21.28","281","98","163","70","0.5360"
"86048","21.40","291","93","163","70","0.5470"
"87908","21.48","303","93","163","71","0.5581"
"89768","21.78","313","94","163","71","0.5693"
"91629","21.66","294","94","163","69","0.5805"
"93487","21.54","277","93","163","68","0.5917"
"95348","22.04","308","95","163","67","0.6029"
"97208","22.14","326","97","166","67","0.6143"
"99068","22.22","310","97","166","67","0.6258"
"100928","22.08","285","96","166","66","0.6373"
"102788","21.94","281","95","166","67","0.6486"
"104648","22.30","313","97","166","67","0.6601"
"106507","22.24","303","97","166","67","0.6716"
"108368","22.68","323","98","166","67","0.6832"
"110228","22.62","315","98","166","68","0.6949"
"112088","22.70","296","98","166","69","0.7065"
"113948","22.82","307","98","166","69","0.7183"
"115809","22.60","296","98","166","69","0.7300"
"117670","22.90","329","100","166","68","0.7418"
"119528","22.74","285","98","166","68","0.7536"
"121388","22.92","299","99","166","67","0.7654"
"123249","22.98","306","99","168","67","0.7773"
"125108","23.02","306","100","168","67","0.7892"
"126968","23.00","272","99","168","66","0.8011"
"128829","23.10","299","100","168","66","0.8129"
"130688","23.34","327","101","168","67","0.8249"
"132548","23.40","309","101","168","68","0.8370"
"134408","23.32","297","101","168","68","0.8491"
"136268","23.42","303","101","168","67","0.8612"
"138129","23.78","314","103","168","66","0.8735"
"139988","23.64","285","102","168","66","0.8857"
"141848","23.46","279","101","168","65","0.8979"
"143738","23.68","287","96","168","67","0.9102"
"145628","24.18","335","97","168","70","0.9227"
"147488","24.26","323","98","168","69","0.9352"
"149348","24.34","304","98","168","68","0.9478"
"151208","24.52","311","99","168","67","0.9604"
"153068","24.60","295","99","168","66","0.9731"
"154928","24.86","309","100","168","65","0.9859"
"156788","24.78","295","100","169","65","0.9987"
"158647","24.90","289","100","170","64","1.0116"
"160508","25.30","295","95","170","66","1.0245"
"162367","25.48","366","97","170","69","1.0376"
"164227","25.66","293","96","170","68","1.0509"
"166087","25.82","322","98","170","68","1.0642"
"167948","25.82","307","98","170","68","1.0776"
"169809","26.16","311","99","170","68","1.0911"
"171667","26.08","285","98","170","68","1.1045"
"173528","26.30","300","99","170","68","1.1180"
"175388","26.64","338","100","170","69","1.1317"
"177248","26.68","315","100","170","69","1.1455"
"179109","26.30","281","100","170","67","1.1592"
"180967","26.10","267","98","170","65","1.1727"
"182827","26.26","315","99","170","65","1.1862"
"184688","26.22","294","98","170","65","1.1997"
"186548","26.12","334","99","170","67","1.2132"
"188408","26.16","322","99","170","68","1.2268"
"190269","26.16","313","98","170","68","1.2403"
"192127","25.88","312","98","170","67","1.2537"
"193987","25.92","321","98","170","68","1.2671"
"195849","26.34","363","100","170","67","1.2806"
"197708","26.48","349","99","170","66","1.2942"
"199567","26.98","288","101","170","64","1.3081"
"201428","26.44","309","101","170","64","1.3219"
"203288","25.86","273","97","170","65","1.3354"
"205149","25.60","301","96","170","66","1.3486"
"207008","25.16","303","95","170","67","1.3617"
"208868","24.66","274","93","170","67","1.3745"
"210728","24.28","295","94","170","68","1.3873"
"212587","24.14","258","104","170","69","1.3997"
"214448","24.10","298","104","170","67","1.4121"
"216307","23.82","292","103","170","65","1.4245"
"218167","23.86","288","102","170","63","1.4368"
"220028","23.84","283","102","170","63","1.4490"
"221889","24.02","293","99","170","64","1.4614"
"223749","24.76","321","99","170","66","1.4739"
"225609","25.44","223","100","170","65","1.4868"
"227468","26.34","217","99","170","63","1.5001"
"229328","27.34","275","95","170","64","1.5139"
"231187","27.22","274","95","170","65","1.5281"
"233048","26.82","259","94","170","64","1.5421"
"234908","27.16","293","95","170","66","1.5560"
"236768","27.40","340","96","170","66","1.5702"
"238628","27.46","277","95","170","67","1.5843"
"240487","27.62","278","95","170","66","1.5985"
"242347","27.42","271","115","170","65","1.6128"
"244208","27.78","287","89","170","69","1.6270"
"246068","28.10","332","90","170","69","1.6415"
"247928","27.80","329","90","170","68","1.6559"
"249788","27.72","341","90","170","66","1.6703"
"251647","27.38","340","89","170","63","1.6845"
"253507","26.98","335","88","170","61","1.6986"
"255367","26.56","341","87","170","61","1.7125"
"257229","25.70","269","84","170","62","1.7261"
"259088","26.10","228","104","170","64","1.7395"
"260949","26.00","295","105","170","65","1.7530"
"262809","25.84","250","104","170","64","1.7664"
"264669","25.66","248","103","170","65","1.7796"
"266527","25.74","308","104","170","66","1.7929"
"268387","24.80","334","101","170","65","1.8058"
"270247","23.64","337","97","170","65","1.8183"
"272107","22.70","301","95","170","67","1.8303"
"273967","21.74","261","101","170","69","1.8418"
"275827","21.50","326","101","170","69","1.8530"
"277688","21.06","289","97","170","67","1.8640"
"279548","20.34","270","95","170","67","1.8747"
"281408","20.20","258","103","170","68","1.8851"
"283268","20.26","318","104","170","68","1.8956"
"285128","20.14","310","104","170","68","1.9059"
"286988","19.94","304","103","170","69","1.9163"
"288848","19.82","300","102","170","69","1.9265"
"290708","19.76","309","102","170","69","1.9367"
"292569","20.04","334","104","170","69","1.9470"
"294428","19.82","335","104","170","68","1.9573"
"296288","20.20","293","104","170","67","1.9676"
"298148","20.76","295","106","170","65","1.9782"
"300008","20.62","326","107","170","65","1.9889"
"301868","20.28","336","106","170","67","1.9994"
"303728","20.14","327","105","172","69","2.0099"
"305587","19.86","322","104","173","69","2.0202"
"307448","19.72","321","103","173","68","2.0305"
"309309","19.48","316","101","173","66","2.0406"
"311168","19.36","299","100","173","65","2.0507"
"313029","19.26","317","100","173","66","2.0606"
"314887","18.94","304","99","173","67","2.0705"
"316748","18.96","321","100","173","67","2.0803"
"318607","19.06","325","99","173","68","2.0901"
"320468","18.90","324","98","173","68","2.0999"
"322327","18.54","303","97","173","68","2.1096"
"324187","18.88","307","98","173","69","2.1193"
"326048","17.92","124","83","173","69","2.1285"
"327907","16.86","154","74","173","68","2.1375"
"329768","17.30","204","74","173","69","2.1463"
"331628","17.84","263","76","173","70","2.1554"
"333488","18.42","281","79","173","71","2.1647"
"335348","19.04","270","82","171","72","2.1744"
"337208","19.78","287","85","171","73","2.1845"
"339068","20.08","281","86","171","73","2.1947"
"340927","20.74","302","89","171","74","2.2053"
"342787","20.84","273","90","171","74","2.2160"
"344649","21.24","267","91","171","73","2.2269"
"346507","21.82","283","93","171","71","2.2380"
"348368","21.92","271","94","171","69","2.2493"
"350228","22.02","238","101","171","69","2.2607"
"352088","22.46","246","97","171","69","2.2722"
"353948","22.92","244","97","171","68","2.2840"
"355807","23.38","251","100","171","67","2.2958"
"357667","23.60","247","101","171","67","2.3080"
"359528","23.92","234","96","170","66","2.3203"
